title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
ロストパワー,Lost Power,24,PC-8801,WIN0001a.bin,WIN0001.bmp,WIN0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=24
あかんべドラゴン,Akanbe Dragon,25,MSX2,WIN1001a.bin,WIN1001.bmp,WIN1001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=25
ARKSROAD,Arks Road,26,PC-8801,WIN0002a.bin,WIN0002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=26
アルゴー,Argo,27,PC-8801,KUR0001a.bin,KUR0001.bmp,KUR0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=27
シルバーゴースト,Silver Ghost,28,PC-8801,KUR0002a.bin,KUR0002.bmp,KUR0002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=28
ＤＵＥＬ,Duel,29,PC-8801,KUR0006a.bin,KUR0006.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=29
超戦士ザイダー,Chousenshi Zaider,30,FM-7,COS0001a.bin,COS0001.bmp,COS0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=30
カレイジアスペルセウス,Courageous Perseus,31,PC-8801,COS0002a.bin,COS0002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=31
超戦士ザイダー・バトルオブペガス,Chousenshi Zaider - Battle of Pegasus,32,MSX,COS1001a.bin,COS1001.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=32
レジオナルパワー,Regional Power,33,PC-9801,COS0003a.bin,COS0003.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=33
かわいそう物語,Kawaisou Monogatari,34,PC-8801,SYS0002a.bin,SYS0002.bmp,SYS0002m.bin,SYS0002d.bin,https://www.amusement-center.com/project/egg/game/?product_id=34
冒険浪漫,Bouken Roman,35,PC-8801,SYS0003a.bin,SYS0003.bmp,,SYS0003d.bin,https://www.amusement-center.com/project/egg/game/?product_id=35
エリュシオン,Elysion,36,PC-9801,SYS0009a.bin,SYS0009.bmp,SYS0009m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=36
ぼうけんろまん,Bouken Roman,37,MSX,SYS1002a.bin,SYS1002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=37
大戦略ＦＭ,Daisenryaku FM,38,FM-7,SYS0010a.bin,SYS0010.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=38
マスターオブモンスターズ,Master of Monsters,39,PC-8801,SYS0005a.bin,SYS0005.bmp,SYS0005m.bin,SYS0005d.bin,https://www.amusement-center.com/project/egg/game/?product_id=39
See・Na,SeeNa,40,PC-8801,SYS0001a.bin,SYS0001.bmp,SYS0001m.bin,SYS0001d.bin,https://www.amusement-center.com/project/egg/game/?product_id=40
SUPER大戦略,Super Daisenryaku,41,PC-8801,SYS0007a.bin,SYS0007.bmp,,SYS0007d.bin,https://www.amusement-center.com/project/egg/game/?product_id=41
ルーンワース,Rune Worth,42,PC-8801,TAE0007a.bin,TAE0007.bmp,TAE0007m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=42
サイオブレード,Psy-O-Blade,43,PC-9801,TAE0006a.bin,TAE0006.bmp,TAE0006m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=43
ハイドライドII,Hydlide II,44,FM-7,TAE0004a.bin,TAE0004.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=44
レイドック,Laydock,45,FM77AV,TAE0005a.bin,TAE0005.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=45
ルーンワース2,Rune Worth 2,46,PC-9801,TAE0008a.bin,TAE0008.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=46
ハイドライドII,Hydlide II,47,PC-8801,TAE0003a.bin,TAE0003.bmp,TAE0003m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=47
ハイドライド,Hydlide,48,X1,TAE0002a.bin,TAE0002.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=48
ハイドライド,Hydlide,49,PC-8801,TAE0001a.bin,TAE0001.bmp,TAE0001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=49
ハイドライド3,Hydlide 3,50,PC-8801,TAE0009a.bin,TAE0009.bmp,TAE0009m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=50
ルーンワース3,Rune Worth 3,51,PC-9801,TAE0010a.bin,TAE0010.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=51
ハイドライド3SV,Hydlide 3 SV,52,PC-9801,TAE0011a.bin,TAE0011.bmp,TAE0011m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=52
レイドック,Laydock,53,MSX2,TAE1001a.bin,TAE1001.bmp,TAE1001m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=53
惑星メフィウス,Wakusei Mephius,54,PC-8801,TAE0014a.bin,TAE0014.bmp,TAE0014m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=54
ハイドライド,Hydlide,55,MSX2,TAE1003a.bin,TAE1003.bmp,TAE1003m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=55
ハイドライド,Hydlide,56,MSX,TAE1002a.bin,TAE1002.bmp,TAE1002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=56
レイドック2 〜LAST ATTACK〜,Laydock 2 - Last Attack,57,MSX2+,TAE1005a.bin,TAE1005.bmp,TAE1005m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=57
スーパーレイドック,Super Laydock,58,X1,TAE0013a.bin,TAE0013.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=58
ハイドライド3,Hydlide 3,59,X1,TAE0012a.bin,TAE0012.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=59
ハイドライド,Hydlide,60,FM-7,TAE0016a.bin,TAE0016.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=60
ハイドライド,Hydlide,61,PC-6001mkII,TAE0017a.bin,TAE0017.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=61
ハイドライドII,Hydlide II,62,MSX,TAE1007a.bin,TAE1007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=62
